SEQUENTIAL
#field0;field1
#Anonymous;**277489
#vm1;**277489
14083966461;14083966461
14083965598;**277489
14083961974;**277489
14083965936;**277489
14083964064;**277489
14083966647;**277489
14083969009;**277489
14083967020;**277489
14083964263;**277489
14083960139;**277489
14083968260;**277489
14083965195;**277489
14083968043;**277489
14083969019;**277489
14083963851;**277489
14083960105;**277489
14083967897;**277489
14083966184;**277489
14083960117;**277489
14083960744;**277489
14083960301;**277489
14083969950;**277489
14083965757;**277489
14083963073;**277489
14083969390;**277489
14083961906;**277489
14083967482;**277489
14083967030;**277489
14083969092;**277489
14083967142;**277489
14083966902;**277489
14083969348;**277489
14083969002;**277489
14083961963;**277489
14083967213;**277489
14083961291;**277489
14083962058;**277489
14083966817;**277489
14083963077;**277489
14083969890;**277489
14083966091;**277489
14083966831;**277489
14083966707;**277489
14083968930;**277489
14083963051;**277489
14083960184;**277489
14083960608;**277489
14083961331;**277489
14083968537;**277489
14083966734;**277489
14083966703;**277489
14083968003;**277489
14083964347;**277489
14083968554;**277489
14083968087;**277489
14083963502;**277489
140839601408;**277489
14083967967;**277489
14083962685;**277489
14083965133;**277489
14083961622;**277489
14083961698;**277489
14083963395;**277489
14083967391;**277489
14083964866;**277489
14083965947;**277489
14083961479;**277489
14083966171;**277489
14083961555;**277489
14083962651;**277489
14083964999;**277489
14083968891;**277489
14083969520;**277489
14083962403;**277489
14083962020;**277489
14083964967;**277489
14083962258;**277489
14083962243;**277489
14083965347;**277489
14083961975;**277489
14083964371;**277489
14083963797;**277489
14083967021;**277489
14083962717;**277489
14083964879;**277489
14083968380;**277489
14083963349;**277489
14083967373;**277489
14083968321;**277489
14083964275;**277489
14083965366;**277489
14083968554;**277489
14083960636;**277489
14083968302;**277489
14083962375;**277489
14083969238;**277489
14083968791;**277489
14083969230;**277489
14083963362;**277489
14083969248;**277489
14083961346;**277489
14083966896;**277489
14083969994;**277489
14083962845;**277489
14083960424;**277489
14083964916;**277489
14083966715;**277489
14083962203;**277489
14083963035;**277489
14083960495;**277489
14083965744;**277489
14083960925;**277489
14083963092;**277489
14083965440;**277489
14083964061;**277489
14083961310;**277489
14083961654;**277489
14083963546;**277489
14083963663;**277489
14083964875;**277489
14083966420;**277489
14083960962;**277489
14083967206;**277489
14083969605;**277489
14083967070;**277489
14083965032;**277489
14083966968;**277489
14083969811;**277489
14083967963;**277489
14083969917;**277489
14083962829;**277489
14083966199;**277489
14083966554;**277489
14083962582;**277489
14083963351;**277489
14083969174;**277489
14083964761;**277489
14083963733;**277489
14083965365;**277489
14083967484;**277489
