SEQUENTIAL
#field0;field1
2069990000;2069990000
2069990001;2069990001
2069990002;2069990002
2069990003;2069990003
2069990004;2069990004
2069990005;2069990005
2069990006;2069990006
2069990007;2069990007
2069990008;2069990008
2069990009;2069990009
2069990010;2069990010
2069990011;2069990011
2069990012;2069990012
2069990013;2069990013
2069990014;2069990014
2069990015;2069990015
2069990016;2069990016
2069990017;2069990017
2069990018;2069990018
2069990019;2069990019
2069990020;2069990020
2069990021;2069990021
2069990022;2069990022
2069990023;2069990023
2069990024;2069990024
2069990025;2069990025
2069990026;2069990026
2069990027;2069990027
2069990028;2069990028
2069990029;2069990029
2069990030;2069990030
2069990031;2069990031
2069990032;2069990032
2069990033;2069990033
2069990034;2069990034
2069990035;2069990035
2069990036;2069990036
2069990037;2069990037
2069990038;2069990038
2069990039;2069990039
2069990040;2069990040
2069990041;2069990041
2069990042;2069990042
2069990043;2069990043
2069990044;2069990044
2069990045;2069990045
2069990046;2069990046
2069990047;2069990047
2069990048;2069990048
2069990049;2069990049
2069990050;2069990050
2069990051;2069990051
2069990052;2069990052
2069990053;2069990053
2069990054;2069990054
2069990055;2069990055
2069990056;2069990056
2069990057;2069990057
2069990058;2069990058
2069990059;2069990059
2069990060;2069990060
2069990061;2069990061
2069990062;2069990062
2069990063;2069990063
2069990064;2069990064
2069990065;2069990065
2069990066;2069990066
2069990067;2069990067
2069990068;2069990068
2069990069;2069990069
2069990070;2069990070
2069990071;2069990071
2069990072;2069990072
2069990073;2069990073
2069990074;2069990074
2069990075;2069990075
2069990076;2069990076
2069990077;2069990077
2069990078;2069990078
2069990079;2069990079
2069990080;2069990080
2069990081;2069990081
2069990082;2069990082
2069990083;2069990083
2069990084;2069990084
2069990085;2069990085
2069990086;2069990086
2069990087;2069990087
2069990088;2069990088
2069990089;2069990089
2069990090;2069990090
2069990091;2069990091
2069990092;2069990092
2069990093;2069990093
2069990094;2069990094
2069990095;2069990095
2069990096;2069990096
2069990097;2069990097
2069990098;2069990098
2069990099;2069990099
2069990100;2069990100
2069990101;2069990101
2069990102;2069990102
2069990103;2069990103
2069990104;2069990104
2069990105;2069990105
2069990106;2069990106
2069990107;2069990107
2069990108;2069990108
2069990109;2069990109
2069990110;2069990110
2069990111;2069990111
2069990112;2069990112
2069990113;2069990113
2069990114;2069990114
2069990115;2069990115
2069990116;2069990116
2069990117;2069990117
2069990118;2069990118
2069990119;2069990119
2069990120;2069990120
2069990121;2069990121
2069990122;2069990122
2069990123;2069990123
2069990124;2069990124
2069990125;2069990125
2069990126;2069990126
2069990127;2069990127
2069990128;2069990128
2069990129;2069990129
2069990130;2069990130
2069990131;2069990131
2069990132;2069990132
2069990133;2069990133
2069990134;2069990134
2069990135;2069990135
2069990136;2069990136
2069990137;2069990137
2069990138;2069990138
2069990139;2069990139
2069990140;2069990140
2069990141;2069990141
2069990142;2069990142
2069990143;2069990143
2069990144;2069990144
2069990145;2069990145
2069990146;2069990146
2069990147;2069990147
2069990148;2069990148
2069990149;2069990149
2069990150;2069990150
2069990151;2069990151
2069990152;2069990152
2069990153;2069990153
2069990154;2069990154
2069990155;2069990155
2069990156;2069990156
2069990157;2069990157
2069990158;2069990158
2069990159;2069990159
2069990160;2069990160
2069990161;2069990161
2069990162;2069990162
2069990163;2069990163
2069990164;2069990164
2069990165;2069990165
2069990166;2069990166
2069990167;2069990167
2069990168;2069990168
2069990169;2069990169
2069990170;2069990170
2069990171;2069990171
2069990172;2069990172
2069990173;2069990173
2069990174;2069990174
2069990175;2069990175
2069990176;2069990176
2069990177;2069990177
2069990178;2069990178
2069990179;2069990179
2069990180;2069990180
2069990181;2069990181
2069990182;2069990182
2069990183;2069990183
2069990184;2069990184
2069990185;2069990185
2069990186;2069990186
2069990187;2069990187
2069990188;2069990188
2069990189;2069990189
2069990190;2069990190
2069990191;2069990191
2069990192;2069990192
2069990193;2069990193
2069990194;2069990194
2069990195;2069990195
2069990196;2069990196
2069990197;2069990197
2069990198;2069990198
2069990199;2069990199
2069990200;2069990200
2069990201;2069990201
2069990202;2069990202
2069990203;2069990203
2069990204;2069990204
2069990205;2069990205
2069990206;2069990206
2069990207;2069990207
2069990208;2069990208
2069990209;2069990209
2069990210;2069990210
2069990211;2069990211
2069990212;2069990212
2069990213;2069990213
2069990214;2069990214
2069990215;2069990215
2069990216;2069990216
2069990217;2069990217
2069990218;2069990218
2069990219;2069990219
2069990220;2069990220
2069990221;2069990221
2069990222;2069990222
2069990223;2069990223
2069990224;2069990224
2069990225;2069990225
2069990226;2069990226
2069990227;2069990227
2069990228;2069990228
2069990229;2069990229
2069990230;2069990230
2069990231;2069990231
2069990232;2069990232
2069990233;2069990233
2069990234;2069990234
2069990235;2069990235
2069990236;2069990236
2069990237;2069990237
2069990238;2069990238
2069990239;2069990239
2069990240;2069990240
2069990241;2069990241
2069990242;2069990242
2069990243;2069990243
2069990244;2069990244
2069990245;2069990245
2069990246;2069990246
2069990247;2069990247
2069990248;2069990248
2069990249;2069990249
2069990250;2069990250
2069990251;2069990251
2069990252;2069990252
2069990253;2069990253
2069990254;2069990254
2069990255;2069990255
2069990256;2069990256
2069990257;2069990257
2069990258;2069990258
2069990259;2069990259
2069990260;2069990260
2069990261;2069990261
2069990262;2069990262
2069990263;2069990263
2069990264;2069990264
2069990265;2069990265
2069990266;2069990266
2069990267;2069990267
2069990268;2069990268
2069990269;2069990269
2069990270;2069990270
2069990271;2069990271
2069990272;2069990272
2069990273;2069990273
2069990274;2069990274
2069990275;2069990275
2069990276;2069990276
2069990277;2069990277
2069990278;2069990278
2069990279;2069990279
2069990280;2069990280
2069990281;2069990281
2069990282;2069990282
2069990283;2069990283
2069990284;2069990284
2069990285;2069990285
2069990286;2069990286
2069990287;2069990287
2069990288;2069990288
2069990289;2069990289
2069990290;2069990290
2069990291;2069990291
2069990292;2069990292
2069990293;2069990293
2069990294;2069990294
2069990295;2069990295
2069990296;2069990296
2069990297;2069990297
2069990298;2069990298
2069990299;2069990299
2069990300;2069990300
2069990301;2069990301
2069990302;2069990302
2069990303;2069990303
2069990304;2069990304
2069990305;2069990305
2069990306;2069990306
2069990307;2069990307
