SEQUENTIAL
#field0;field1
2069993200;2069993200
2069993201;2069993201
2069993202;2069993202
2069993203;2069993203
2069993204;2069993204
2069993205;2069993205
2069993206;2069993206
2069993207;2069993207
2069993208;2069993208
2069993209;2069993209
2069993210;2069993210
2069993211;2069993211
2069993212;2069993212
2069993213;2069993213
2069993214;2069993214
2069993215;2069993215
2069993216;2069993216
2069993217;2069993217
2069993218;2069993218
2069993219;2069993219
2069993220;2069993220
2069993221;2069993221
2069993222;2069993222
2069993223;2069993223
2069993224;2069993224
2069993225;2069993225
2069993226;2069993226
2069993227;2069993227
2069993228;2069993228
2069993229;2069993229
2069993230;2069993230
2069993231;2069993231
2069993232;2069993232
2069993233;2069993233
2069993234;2069993234
2069993235;2069993235
2069993236;2069993236
2069993237;2069993237
2069993238;2069993238
2069993239;2069993239
2069993240;2069993240
2069993241;2069993241
2069993242;2069993242
2069993243;2069993243
2069993244;2069993244
2069993245;2069993245
2069993246;2069993246
2069993247;2069993247
2069993248;2069993248
2069993249;2069993249
2069993250;2069993250
2069993251;2069993251
2069993252;2069993252
2069993253;2069993253
2069993254;2069993254
2069993255;2069993255
2069993256;2069993256
2069993257;2069993257
2069993258;2069993258
2069993259;2069993259
2069993260;2069993260
2069993261;2069993261
2069993262;2069993262
2069993263;2069993263
2069993264;2069993264
2069993265;2069993265
2069993266;2069993266
2069993267;2069993267
2069993268;2069993268
2069993269;2069993269
2069993270;2069993270
2069993271;2069993271
2069993272;2069993272
2069993273;2069993273
2069993274;2069993274
2069993275;2069993275
2069993276;2069993276
2069993277;2069993277
2069993278;2069993278
2069993279;2069993279
2069993280;2069993280
2069993281;2069993281
2069993282;2069993282
2069993283;2069993283
2069993284;2069993284
2069993285;2069993285
2069993286;2069993286
2069993287;2069993287
2069993288;2069993288
2069993289;2069993289
2069993290;2069993290
2069993291;2069993291
2069993292;2069993292
2069993293;2069993293
2069993294;2069993294
2069993295;2069993295
2069993296;2069993296
2069993297;2069993297
2069993298;2069993298
2069993299;2069993299
2069993300;2069993300
2069993301;2069993301
2069993302;2069993302
2069993303;2069993303
2069993304;2069993304
2069993305;2069993305
2069993306;2069993306
2069993307;2069993307
2069993308;2069993308
2069993309;2069993309
2069993310;2069993310
2069993311;2069993311
2069993312;2069993312
2069993313;2069993313
2069993314;2069993314
2069993315;2069993315
2069993316;2069993316
2069993317;2069993317
2069993318;2069993318
2069993319;2069993319
2069993320;2069993320
2069993321;2069993321
2069993322;2069993322
2069993323;2069993323
2069993324;2069993324
2069993325;2069993325
2069993326;2069993326
2069993327;2069993327
2069993328;2069993328
2069993329;2069993329
2069993330;2069993330
2069993331;2069993331
2069993332;2069993332
2069993333;2069993333
2069993334;2069993334
2069993335;2069993335
2069993336;2069993336
2069993337;2069993337
2069993338;2069993338
2069993339;2069993339
2069993340;2069993340
2069993341;2069993341
2069993342;2069993342
2069993343;2069993343
2069993344;2069993344
2069993345;2069993345
2069993346;2069993346
2069993347;2069993347
2069993348;2069993348
2069993349;2069993349
2069993350;2069993350
2069993351;2069993351
2069993352;2069993352
2069993353;2069993353
2069993354;2069993354
2069993355;2069993355
2069993356;2069993356
2069993357;2069993357
2069993358;2069993358
2069993359;2069993359
2069993360;2069993360
2069993361;2069993361
2069993362;2069993362
2069993363;2069993363
2069993364;2069993364
2069993365;2069993365
2069993366;2069993366
2069993367;2069993367
2069993368;2069993368
2069993369;2069993369
2069993370;2069993370
2069993371;2069993371
2069993372;2069993372
2069993373;2069993373
2069993374;2069993374
2069993375;2069993375
2069993376;2069993376
2069993377;2069993377
2069993378;2069993378
2069993379;2069993379
2069993380;2069993380
2069993381;2069993381
2069993382;2069993382
2069993383;2069993383
2069993384;2069993384
2069993385;2069993385
2069993386;2069993386
2069993387;2069993387
2069993388;2069993388
2069993389;2069993389
2069993390;2069993390
2069993391;2069993391
2069993392;2069993392
2069993393;2069993393
2069993394;2069993394
2069993395;2069993395
2069993396;2069993396
2069993397;2069993397
2069993398;2069993398
2069993399;2069993399
2069993400;2069993400
2069993401;2069993401
2069993402;2069993402
2069993403;2069993403
2069993404;2069993404
2069993405;2069993405
2069993406;2069993406
2069993407;2069993407
2069993408;2069993408
2069993409;2069993409
2069993410;2069993410
2069993411;2069993411
2069993412;2069993412
2069993413;2069993413
2069993414;2069993414
2069993415;2069993415
2069993416;2069993416
2069993417;2069993417
2069993418;2069993418
2069993419;2069993419
