SEQUENTIAL
#field0;field1
2069996400;2069996400
2069996401;2069996401
2069996402;2069996402
2069996403;2069996403
2069996404;2069996404
2069996405;2069996405
2069996406;2069996406
2069996407;2069996407
2069996408;2069996408
2069996409;2069996409
2069996410;2069996410
2069996411;2069996411
2069996412;2069996412
2069996413;2069996413
2069996414;2069996414
2069996415;2069996415
2069996416;2069996416
2069996417;2069996417
2069996418;2069996418
2069996419;2069996419
2069996420;2069996420
2069996421;2069996421
2069996422;2069996422
2069996423;2069996423
2069996424;2069996424
2069996425;2069996425
2069996426;2069996426
2069996427;2069996427
2069996428;2069996428
2069996429;2069996429
2069996430;2069996430
2069996431;2069996431
2069996432;2069996432
2069996433;2069996433
2069996434;2069996434
2069996435;2069996435
2069996436;2069996436
2069996437;2069996437
2069996438;2069996438
2069996439;2069996439
2069996440;2069996440
2069996441;2069996441
2069996442;2069996442
2069996443;2069996443
2069996444;2069996444
2069996445;2069996445
2069996446;2069996446
2069996447;2069996447
2069996448;2069996448
2069996449;2069996449
2069996450;2069996450
2069996451;2069996451
2069996452;2069996452
2069996453;2069996453
2069996454;2069996454
2069996455;2069996455
2069996456;2069996456
2069996457;2069996457
2069996458;2069996458
2069996459;2069996459
2069996460;2069996460
2069996461;2069996461
2069996462;2069996462
2069996463;2069996463
2069996464;2069996464
2069996465;2069996465
2069996466;2069996466
2069996467;2069996467
2069996468;2069996468
2069996469;2069996469
2069996470;2069996470
2069996471;2069996471
2069996472;2069996472
2069996473;2069996473
2069996474;2069996474
2069996475;2069996475
2069996476;2069996476
2069996477;2069996477
2069996478;2069996478
2069996479;2069996479
2069996480;2069996480
2069996481;2069996481
2069996482;2069996482
2069996483;2069996483
2069996484;2069996484
2069996485;2069996485
2069996486;2069996486
2069996487;2069996487
2069996488;2069996488
2069996489;2069996489
2069996490;2069996490
2069996491;2069996491
2069996492;2069996492
2069996493;2069996493
2069996494;2069996494
2069996495;2069996495
2069996496;2069996496
2069996497;2069996497
2069996498;2069996498
2069996499;2069996499
2069996500;2069996500
2069996501;2069996501
2069996502;2069996502
2069996503;2069996503
2069996504;2069996504
2069996505;2069996505
2069996506;2069996506
2069996507;2069996507
2069996508;2069996508
2069996509;2069996509
2069996510;2069996510
2069996511;2069996511
2069996512;2069996512
2069996513;2069996513
2069996514;2069996514
2069996515;2069996515
2069996516;2069996516
2069996517;2069996517
2069996518;2069996518
2069996519;2069996519
2069996520;2069996520
2069996521;2069996521
2069996522;2069996522
2069996523;2069996523
2069996524;2069996524
2069996525;2069996525
2069996526;2069996526
2069996527;2069996527
2069996528;2069996528
2069996529;2069996529
2069996530;2069996530
2069996531;2069996531
2069996532;2069996532
2069996533;2069996533
2069996534;2069996534
2069996535;2069996535
2069996536;2069996536
2069996537;2069996537
2069996538;2069996538
2069996539;2069996539
2069996540;2069996540
2069996541;2069996541
2069996542;2069996542
2069996543;2069996543
2069996544;2069996544
2069996545;2069996545
2069996546;2069996546
2069996547;2069996547
2069996548;2069996548
2069996549;2069996549
2069996550;2069996550
2069996551;2069996551
2069996552;2069996552
2069996553;2069996553
2069996554;2069996554
2069996555;2069996555
2069996556;2069996556
2069996557;2069996557
2069996558;2069996558
2069996559;2069996559
2069996560;2069996560
2069996561;2069996561
2069996562;2069996562
2069996563;2069996563
2069996564;2069996564
2069996565;2069996565
2069996566;2069996566
2069996567;2069996567
2069996568;2069996568
2069996569;2069996569
2069996570;2069996570
2069996571;2069996571
2069996572;2069996572
2069996573;2069996573
2069996574;2069996574
2069996575;2069996575
2069996576;2069996576
2069996577;2069996577
2069996578;2069996578
2069996579;2069996579
2069996580;2069996580
2069996581;2069996581
2069996582;2069996582
2069996583;2069996583
2069996584;2069996584
2069996585;2069996585
2069996586;2069996586
2069996587;2069996587
2069996588;2069996588
2069996589;2069996589
2069996590;2069996590
2069996591;2069996591
2069996592;2069996592
2069996593;2069996593
2069996594;2069996594
2069996595;2069996595
2069996596;2069996596
2069996597;2069996597
2069996598;2069996598
2069996599;2069996599
2069996600;2069996600
2069996601;2069996601
2069996602;2069996602
2069996603;2069996603
2069996604;2069996604
2069996605;2069996605
2069996606;2069996606
2069996607;2069996607
2069996608;2069996608
2069996609;2069996609
2069996610;2069996610
2069996611;2069996611
2069996612;2069996612
2069996613;2069996613
2069996614;2069996614
2069996615;2069996615
2069996616;2069996616
2069996617;2069996617
2069996618;2069996618
2069996619;2069996619
2069996620;2069996620
2069996621;2069996621
2069996622;2069996622
2069996623;2069996623
2069996624;2069996624
2069996625;2069996625
2069996626;2069996626
2069996627;2069996627
2069996628;2069996628
2069996629;2069996629
2069996630;2069996630
2069996631;2069996631
2069996632;2069996632
2069996633;2069996633
2069996634;2069996634
2069996635;2069996635
2069996636;2069996636
2069996637;2069996637
2069996638;2069996638
2069996639;2069996639
2069996640;2069996640
2069996641;2069996641
2069996642;2069996642
2069996643;2069996643
2069996644;2069996644
2069996645;2069996645
2069996646;2069996646
2069996647;2069996647
2069996648;2069996648
2069996649;2069996649
2069996650;2069996650
2069996651;2069996651
2069996652;2069996652
2069996653;2069996653
2069996654;2069996654
2069996655;2069996655
2069996656;2069996656
2069996657;2069996657
2069996658;2069996658
2069996659;2069996659
2069996660;2069996660
2069996661;2069996661
2069996662;2069996662
2069996663;2069996663
2069996664;2069996664
2069996665;2069996665
2069996666;2069996666
2069996667;2069996667
2069996668;2069996668
2069996669;2069996669
2069996670;2069996670
2069996671;2069996671
2069996672;2069996672
2069996673;2069996673
2069996674;2069996674
2069996675;2069996675
2069996676;2069996676
2069996677;2069996677
2069996678;2069996678
2069996679;2069996679
2069996680;2069996680
2069996681;2069996681
2069996682;2069996682
2069996683;2069996683
2069996684;2069996684
2069996685;2069996685
2069996686;2069996686
2069996687;2069996687
2069996688;2069996688
2069996689;2069996689
2069996690;2069996690
2069996691;2069996691
2069996692;2069996692
2069996693;2069996693
2069996694;2069996694
2069996695;2069996695
2069996696;2069996696
2069996697;2069996697
2069996698;2069996698
2069996699;2069996699
2069996700;2069996700
2069996701;2069996701
2069996702;2069996702
2069996703;2069996703
2069996704;2069996704
2069996705;2069996705
2069996706;2069996706
2069996707;2069996707
2069996708;2069996708
2069996709;2069996709
2069996710;2069996710
2069996711;2069996711
2069996712;2069996712
2069996713;2069996713
2069996714;2069996714
2069996715;2069996715
2069996716;2069996716
2069996717;2069996717
2069996718;2069996718
2069996719;2069996719
2069996720;2069996720
2069996721;2069996721
2069996722;2069996722
2069996723;2069996723
2069996724;2069996724
2069996725;2069996725
2069996726;2069996726
2069996727;2069996727
2069996728;2069996728
2069996729;2069996729
2069996730;2069996730
2069996731;2069996731
2069996732;2069996732
2069996733;2069996733
2069996734;2069996734
2069996735;2069996735
2069996736;2069996736
2069996737;2069996737
2069996738;2069996738
2069996739;2069996739
2069996740;2069996740
2069996741;2069996741
2069996742;2069996742
2069996743;2069996743
2069996744;2069996744
2069996745;2069996745
2069996746;2069996746
2069996747;2069996747
2069996748;2069996748
2069996749;2069996749
2069996750;2069996750
2069996751;2069996751
2069996752;2069996752
2069996753;2069996753
2069996754;2069996754
2069996755;2069996755
2069996756;2069996756
2069996757;2069996757
2069996758;2069996758
2069996759;2069996759
2069996760;2069996760
2069996761;2069996761
2069996762;2069996762
2069996763;2069996763
2069996764;2069996764
2069996765;2069996765
2069996766;2069996766
2069996767;2069996767
2069996768;2069996768
2069996769;2069996769
2069996770;2069996770
2069996771;2069996771
2069996772;2069996772
2069996773;2069996773
2069996774;2069996774
2069996775;2069996775
2069996776;2069996776
2069996777;2069996777
2069996778;2069996778
2069996779;2069996779
2069996780;2069996780
2069996781;2069996781
2069996782;2069996782
2069996783;2069996783
2069996784;2069996784
2069996785;2069996785
2069996786;2069996786
2069996787;2069996787
2069996788;2069996788
2069996789;2069996789
2069996790;2069996790
2069996791;2069996791
2069996792;2069996792
2069996793;2069996793
2069996794;2069996794
2069996795;2069996795
2069996796;2069996796
2069996797;2069996797
2069996798;2069996798
2069996799;2069996799
2069996800;2069996800
2069996801;2069996801
2069996802;2069996802
2069996803;2069996803
2069996804;2069996804
2069996805;2069996805
2069996806;2069996806
2069996807;2069996807
2069996808;2069996808
2069996809;2069996809
2069996810;2069996810
2069996811;2069996811
2069996812;2069996812
2069996813;2069996813
2069996814;2069996814
2069996815;2069996815
2069996816;2069996816
2069996817;2069996817
2069996818;2069996818
2069996819;2069996819
