SEQUENTIAL
#field0;field1
2069994800;2069994800
2069994801;2069994801
2069994802;2069994802
2069994803;2069994803
2069994804;2069994804
2069994805;2069994805
2069994806;2069994806
2069994807;2069994807
2069994808;2069994808
2069994809;2069994809
2069994810;2069994810
2069994811;2069994811
2069994812;2069994812
2069994813;2069994813
2069994814;2069994814
2069994815;2069994815
2069994816;2069994816
2069994817;2069994817
2069994818;2069994818
2069994819;2069994819
2069994820;2069994820
2069994821;2069994821
2069994822;2069994822
2069994823;2069994823
2069994824;2069994824
2069994825;2069994825
2069994826;2069994826
2069994827;2069994827
2069994828;2069994828
2069994829;2069994829
2069994830;2069994830
2069994831;2069994831
2069994832;2069994832
2069994833;2069994833
2069994834;2069994834
2069994835;2069994835
2069994836;2069994836
2069994837;2069994837
2069994838;2069994838
2069994839;2069994839
2069994840;2069994840
2069994841;2069994841
2069994842;2069994842
2069994843;2069994843
2069994844;2069994844
2069994845;2069994845
2069994846;2069994846
2069994847;2069994847
2069994848;2069994848
2069994849;2069994849
2069994850;2069994850
2069994851;2069994851
2069994852;2069994852
2069994853;2069994853
2069994854;2069994854
2069994855;2069994855
2069994856;2069994856
2069994857;2069994857
2069994858;2069994858
2069994859;2069994859
2069994860;2069994860
2069994861;2069994861
2069994862;2069994862
2069994863;2069994863
2069994864;2069994864
2069994865;2069994865
2069994866;2069994866
2069994867;2069994867
2069994868;2069994868
2069994869;2069994869
2069994870;2069994870
2069994871;2069994871
2069994872;2069994872
2069994873;2069994873
2069994874;2069994874
2069994875;2069994875
2069994876;2069994876
2069994877;2069994877
2069994878;2069994878
2069994879;2069994879
2069994880;2069994880
2069994881;2069994881
2069994882;2069994882
2069994883;2069994883
2069994884;2069994884
2069994885;2069994885
2069994886;2069994886
2069994887;2069994887
2069994888;2069994888
2069994889;2069994889
2069994890;2069994890
2069994891;2069994891
2069994892;2069994892
2069994893;2069994893
2069994894;2069994894
2069994895;2069994895
2069994896;2069994896
2069994897;2069994897
2069994898;2069994898
2069994899;2069994899
2069994900;2069994900
2069994901;2069994901
2069994902;2069994902
2069994903;2069994903
2069994904;2069994904
2069994905;2069994905
2069994906;2069994906
2069994907;2069994907
2069994908;2069994908
2069994909;2069994909
2069994910;2069994910
2069994911;2069994911
2069994912;2069994912
2069994913;2069994913
2069994914;2069994914
2069994915;2069994915
2069994916;2069994916
2069994917;2069994917
2069994918;2069994918
2069994919;2069994919
2069994920;2069994920
2069994921;2069994921
2069994922;2069994922
2069994923;2069994923
2069994924;2069994924
2069994925;2069994925
2069994926;2069994926
2069994927;2069994927
2069994928;2069994928
2069994929;2069994929
2069994930;2069994930
2069994931;2069994931
2069994932;2069994932
2069994933;2069994933
2069994934;2069994934
2069994935;2069994935
2069994936;2069994936
2069994937;2069994937
2069994938;2069994938
2069994939;2069994939
2069994940;2069994940
2069994941;2069994941
2069994942;2069994942
2069994943;2069994943
2069994944;2069994944
2069994945;2069994945
2069994946;2069994946
2069994947;2069994947
2069994948;2069994948
2069994949;2069994949
2069994950;2069994950
2069994951;2069994951
2069994952;2069994952
2069994953;2069994953
2069994954;2069994954
2069994955;2069994955
2069994956;2069994956
2069994957;2069994957
2069994958;2069994958
2069994959;2069994959
2069994960;2069994960
2069994961;2069994961
2069994962;2069994962
2069994963;2069994963
2069994964;2069994964
2069994965;2069994965
2069994966;2069994966
2069994967;2069994967
2069994968;2069994968
2069994969;2069994969
2069994970;2069994970
2069994971;2069994971
2069994972;2069994972
2069994973;2069994973
2069994974;2069994974
2069994975;2069994975
2069994976;2069994976
2069994977;2069994977
2069994978;2069994978
2069994979;2069994979
2069994980;2069994980
2069994981;2069994981
2069994982;2069994982
2069994983;2069994983
2069994984;2069994984
2069994985;2069994985
2069994986;2069994986
2069994987;2069994987
2069994988;2069994988
2069994989;2069994989
2069994990;2069994990
2069994991;2069994991
2069994992;2069994992
2069994993;2069994993
2069994994;2069994994
2069994995;2069994995
2069994996;2069994996
2069994997;2069994997
2069994998;2069994998
2069994999;2069994999
2069995000;2069995000
2069995001;2069995001
2069995002;2069995002
2069995003;2069995003
2069995004;2069995004
2069995005;2069995005
2069995006;2069995006
2069995007;2069995007
2069995008;2069995008
2069995009;2069995009
2069995010;2069995010
2069995011;2069995011
2069995012;2069995012
2069995013;2069995013
2069995014;2069995014
2069995015;2069995015
2069995016;2069995016
2069995017;2069995017
2069995018;2069995018
2069995019;2069995019
2069995020;2069995020
2069995021;2069995021
2069995022;2069995022
2069995023;2069995023
2069995024;2069995024
2069995025;2069995025
2069995026;2069995026
2069995027;2069995027
2069995028;2069995028
2069995029;2069995029
2069995030;2069995030
2069995031;2069995031
2069995032;2069995032
2069995033;2069995033
2069995034;2069995034
2069995035;2069995035
2069995036;2069995036
2069995037;2069995037
2069995038;2069995038
2069995039;2069995039
2069995040;2069995040
2069995041;2069995041
2069995042;2069995042
2069995043;2069995043
2069995044;2069995044
2069995045;2069995045
2069995046;2069995046
2069995047;2069995047
2069995048;2069995048
2069995049;2069995049
2069995050;2069995050
2069995051;2069995051
2069995052;2069995052
2069995053;2069995053
2069995054;2069995054
2069995055;2069995055
2069995056;2069995056
2069995057;2069995057
2069995058;2069995058
